epoch,train_loss,val_loss,mse,ssim,epoch_time
1,0.06220896434803892,0.03980343300547149,0.009056617,0.9243819328812135,47.18297815322876
2,0.03139679054688064,0.01450165718592502,0.0027046327,0.9666253695531621,46.61107039451599
3,0.020897972640731104,0.014395009575260652,0.0059579522,0.9712545209253804,46.616957664489746
4,0.017965603416087106,0.025151075744951092,0.011066881,0.9510016463836071,46.66228175163269
5,0.01555359605117701,0.011219458327301451,0.0012704184,0.9706769157394156,46.368934631347656
6,0.014314446993271954,0.013554574745531017,0.004989258,0.9702821700836519,46.389559507369995
7,0.0130006867548218,0.013384585822554858,0.0036872847,0.9687355638296203,46.42563557624817
8,0.012956190604849585,0.019110118265490274,0.0057732835,0.9580105951367451,46.41805934906006
9,0.01224194818808298,0.010610019549022656,0.0024616485,0.9745371336753752,46.44452786445618
10,0.01467345280772341,0.026657889471263498,0.00453902,0.9340829787884882,46.424290895462036
