epoch,train_loss,val_loss,mse,ssim,epoch_time
1,0.11290690245412784,0.11827551399039317,0.011686955,0.7369902891213275,1441.3451328277588
2,0.09643385062525613,0.11040878607125222,0.010731697,0.747924804751276,1446.699411392212
3,0.08967958622067222,0.10380177782997803,0.01052111,0.7414117583819295,1443.4683470726013
4,0.08250151933452668,0.09990314424886734,0.009951717,0.7455454714492185,1440.775351524353
5,0.07759101420737567,0.0980252787816625,0.0094545,0.7568321432193285,1449.836477279663
6,0.07492178042690331,0.09842794547682698,0.010160677,0.7607302459454583,1470.2797560691833
7,0.0732405035399566,0.09823300515769151,0.010680553,0.7354409049523657,1442.26518201828
8,0.07164165630174388,0.09613199759557654,0.009298537,0.7711990680287857,1466.993358373642
9,0.0703632761039892,0.09554624717824067,0.009219004,0.7563790906976651,1461.3066573143005
10,0.06970730474116738,0.0953977848933656,0.009407131,0.7546308195458414,1442.0154762268066
11,0.06878177265794974,0.09546175425997955,0.009378409,0.7607188329682889,1491.699092388153
12,0.0678194569375484,0.09429308432566968,0.009125335,0.7669905241944026,1456.2939999103546
13,0.06804357889787394,0.0997717525920033,0.010328694,0.757835645186527,1444.3656816482544
